# IntelliGrid — Deep Production Audit Checklist
**Version**: 2.1.0 | **Audit Date**: February 2026 | **Status**: Pre-Launch Final Review

> **How to use**: Work through each section top-to-bottom. Mark each item `✅ Done`, `⚠️ Partial`, `❌ Missing`, or `N/A`. Priority labels: 🔴 **Critical** (blocks launch) | 🟡 **Important** (should fix soon) | 🟢 **Enhancement** (nice to have).

---

## TABLE OF CONTENTS

1. [Frontend — Pages & Routing](#1-frontend--pages--routing)
2. [Frontend — Components](#2-frontend--components)
3. [Frontend — Auth & Access Control](#3-frontend--auth--access-control)
4. [Frontend — Search & Discovery](#4-frontend--search--discovery)
5. [Frontend — Performance & SEO](#5-frontend--performance--seo)
6. [Frontend — UX & Design System](#6-frontend--ux--design-system)
7. [Backend — API Routes](#7-backend--api-routes)
8. [Backend — Database & Models](#8-backend--database--models)
9. [Backend — Services Layer](#9-backend--services-layer)
10. [Backend — Middleware & Security](#10-backend--middleware--security)
11. [Payments & Monetization](#11-payments--monetization)
12. [Email Automation](#12-email-automation)
13. [Admin Panel](#13-admin-panel)
14. [Search — Algolia Integration](#14-search--algolia-integration)
15. [Analytics & Monitoring](#15-analytics--monitoring)
16. [Infrastructure & Deployment](#16-infrastructure--deployment)
17. [Security Hardening](#17-security-hardening)
18. [Legal & Compliance](#18-legal--compliance)
19. [Data Integrity & Content](#19-data-integrity--content)
20. [Go-Live Final Switches](#20-go-live-final-switches)

---

## 1. Frontend — Pages & Routing

### 1.1 Route Coverage (17 Pages)

| Priority | Check | Status | Notes |
|---|---|---|---|
| 🔴 | All 17 routes registered in router config | | |
| 🔴 | Lazy-loading applied to all non-critical pages | | Reduces initial bundle |
| 🔴 | Protected routes (`/dashboard`, `/admin`) correctly wrapped in `ProtectedRoute.jsx` | | |
| 🔴 | 404 `NotFoundPage` catches all unmatched routes (`path="*"`) | | |
| 🟡 | Admin sub-routes (`/admin/revenue`, `/admin/health`) require `MODERATOR+` role | | |
| 🟡 | Deep linking works (direct URL navigation, no blank page on refresh) | | Vercel SPA fallback config |
| 🟡 | All route transitions are smooth (no flicker/flash of unstyled content) | | |
| 🟢 | Browser back/forward navigation preserves scroll position | | |

### 1.2 Page-by-Page Checklist

#### `HomePage` (`/`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Hero search bar functional and navigates to `/search` or `/tools` | |
| 🔴 | Category tiles render with correct icons and link to `/category/:slug` | |
| 🔴 | Trending tools grid loads and displays correctly | |
| 🔴 | New tools grid loads and displays correctly | |
| 🟡 | Hero section glow/animation renders across Chrome, Firefox, Safari | |
| 🟡 | Empty state handled if trending/new tools API returns nothing | |
| 🟢 | Above-the-fold renders without layout shift (CLS score) | |

#### `ToolsPage` (`/tools`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Default paginated tool listing loads correctly | |
| 🔴 | Category filter strip is functional (click filters the grid) | |
| 🔴 | Pricing pills filter works (Free, Freemium, Paid) | |
| 🔴 | Sort tabs functional (Trending, Newest, Top Rated) | |
| 🔴 | Grid/list toggle works and preference persists during session | |
| 🔴 | Search bar with 380ms debounce triggers Algolia search | |
| 🔴 | Clear button resets to browse mode correctly | |
| 🟡 | Skeleton loaders show while data is fetching | |
| 🟡 | Pagination controls work and URL updates with page number | |
| 🟡 | Empty state shown when no tools match filters | |
| 🟡 | Filter combinations work together (e.g., category + pricing + sort) | |

#### `ToolDetailsPage` (`/tools/:slug`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Page loads for all valid tool slugs | |
| 🔴 | Invalid slugs redirect to 404 or show error gracefully | |
| 🔴 | Left column gallery renders correctly at 16:10 aspect ratio | |
| 🔴 | Right column product info renders (logo, title, rating, pricing) | |
| 🔴 | "Visit Website" CTA opens official URL in new tab | |
| 🔴 | Save (heart) button works for logged-in users | |
| 🔴 | Save button prompts login for anonymous users | |
| 🔴 | Share button copies link or triggers native share API | |
| 🔴 | Embed button opens `EmbedToolModal` with correct HTML snippet | |
| 🔴 | All 5 tabs render content (Overview, Features, Use Cases, Integrations, API) | |
| 🔴 | Review section loads paginated reviews | |
| 🔴 | `ReviewForm` only shows for authenticated users | |
| 🔴 | Similar tools grid shows and Compare links work | |
| 🟡 | "Claim this tool" link shows only for unverified tools | |
| 🟡 | Verification badge shows for verified tools | |
| 🟡 | Gallery thumbnail strip is clickable when multiple screenshots exist | |
| 🟡 | Browser toolbar mock shows correct domain from `officialUrl` | |
| 🟡 | Fallback to `metadata.logo` or styled initials when no screenshot | |
| 🟢 | Structured data (JSON-LD) present in page `<head>` | |
| 🟢 | Page scrolls to review section when clicking review count | |

#### `SearchPage` (`/search`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Algolia InstantSearch initializes with correct App ID and search-only key | |
| 🔴 | Real-time search results update as user types | |
| 🔴 | Sidebar pricing.type filter works | |
| 🔴 | Sidebar isFeatured filter works | |
| 🔴 | Results display logo, rating, pricing badge, and tags | |
| 🟡 | Empty state shown for zero-result searches | |
| 🟡 | Query string preserved in URL for shareability | |

#### `CategoryPage` (`/category/:slug`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Loads tools filtered by correct category | |
| 🔴 | Invalid category slug shows 404 or error | |
| 🔴 | Category title and description displayed | |
| 🟡 | Tool count in category header matches actual results | |
| 🟡 | Pagination works within category | |

#### `ComparisonPage` (`/compare/:slugs`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Parses multiple slugs from URL correctly | |
| 🔴 | Side-by-side comparison table renders | |
| 🔴 | Verdict section is gated behind Pro subscription check | |
| 🔴 | Pro upsell CTA shown to free users in verdict area | |
| 🟡 | Handles 2–4 tools gracefully (confirm max tool limit) | |
| 🟡 | Invalid slugs in comparison URL handled gracefully | |

#### `CollectionDetailsPage` (`/collections/:idOrSlug`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Public collections viewable without authentication | |
| 🔴 | Private collections return 403/404 for non-owners | |
| 🔴 | Tools within collection render as cards | |
| 🟡 | Collection metadata (name, description, owner) displayed | |

#### `PricingPage` (`/pricing`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Feature comparison table renders with all features | |
| 🔴 | PayPal checkout CTA triggers correct payment flow (USD) | |
| 🔴 | Cashfree checkout CTA triggers correct payment flow (INR) | |
| 🔴 | Monthly/Yearly toggle shows correct prices | |
| 🟡 | Current plan highlighted for logged-in Pro users | |
| 🟡 | Coupon code input field present and functional | |

#### `DashboardPage` (`/dashboard`)
| Priority | Check | Status |
|---|---|---|
| 🔴 | Redirects unauthenticated users to sign-in | |
| 🔴 | Overview tab: subscription status visible | |
| 🔴 | Overview tab: usage quotas (favorites, collections) displayed | |
| 🔴 | Collections tab: create/edit/delete works | |
| 🔴 | Collections tab: public/private toggle functional | |
| 🔴 | Favorites tab: saved tools display and remove works | |
| 🔴 | My Tools tab: submitted tools listed with status | |
| 🟡 | Free tier user sees upgrade prompt with quota limits | |
| 🟡 | Pro user sees "Pro" badge / status clearly | |
| 🟡 | CSV data export works for Pro users | |

#### `PaymentSuccessPage` & `PaymentCancelPage`
| Priority | Check | Status |
|---|---|---|
| 🔴 | Success page calls verify endpoint with `orderId` from URL params | |
| 🔴 | Success page updates UI to reflect Pro tier immediately | |
| 🔴 | Success page sends/shows payment confirmation | |
| 🔴 | Cancel page confirms cancellation without charging user | |
| 🟡 | Success page handles verify API failure gracefully | |
| 🟡 | Success page not accessible without valid `orderId` param | |

#### Legal & Static Pages
| Priority | Check | Status |
|---|---|---|
| 🔴 | `/privacy-policy` renders full content | |
| 🔴 | `/terms-of-service` renders full content | |
| 🔴 | `/refund-policy` renders 30-day guarantee policy | |
| 🔴 | `/faq` accordion UI expands/collapses all items | |
| 🟡 | All legal pages have correct `lastUpdated` dates | |
| 🟡 | Footer links point to all four legal pages correctly | |

---

## 2. Frontend — Components

### 2.1 Layout Components

| Priority | Check | Status |
|---|---|---|
| 🔴 | `Header.jsx` — Logo links to `/` | |
| 🔴 | `Header.jsx` — All nav links correct and functional | |
| 🔴 | `Header.jsx` — Admin link is role-gated (`MODERATOR+`) | |
| 🔴 | `Header.jsx` — Sign In opens Clerk modal for unauthenticated users | |
| 🔴 | `Header.jsx` — `UserButton` shows for authenticated users | |
| 🔴 | `Header.jsx` — Sticky behavior works on scroll | |
| 🔴 | `Footer.jsx` — Newsletter form submits to Brevo | |
| 🔴 | `Footer.jsx` — All 5 link columns render with correct hrefs | |
| 🔴 | `Footer.jsx` — Social icon links are correct and open in new tab | |
| 🟡 | `Header.jsx` — Mobile responsive (hamburger menu or collapsed nav) | |
| 🟡 | `Footer.jsx` — Mobile layout is readable | |

### 2.2 Tool Components

| Priority | Check | Status |
|---|---|---|
| 🔴 | `ToolCard.jsx` — 140px banner renders; gradient placeholder shows when no image | |
| 🔴 | `ToolCard.jsx` — Stars, pricing, tags render correctly | |
| 🔴 | `ToolCard.jsx` — "Visit" button opens `officialUrl` in new tab | |
| 🔴 | `ToolCardSkeleton.jsx` — Shape matches `ToolCard.jsx` exactly | |
| 🔴 | `ToolScreenshots.jsx` — 16:10 main image renders | |
| 🔴 | `ToolScreenshots.jsx` — Thumbnail strip is clickable when multiple screenshots | |
| 🔴 | `ToolProductInfo.jsx` — 72px logo renders with verification badge overlay | |
| 🔴 | `ToolContent.jsx` — All 5 tabs render without errors | |
| 🔴 | `ToolReviews.jsx` — Rating distribution bar chart renders | |
| 🔴 | `ToolReviews.jsx` — Pagination works | |
| 🔴 | `ToolReviews.jsx` — Sort dropdown functional | |
| 🔴 | `ReviewForm.jsx` — Star picker interactive and submits correctly | |
| 🔴 | `ReviewForm.jsx` — Duplicate review prevention (user can only review once) | |
| 🔴 | `SimilarTools.jsx` — 3-col grid renders; Compare links functional | |
| 🔴 | `AddToCollectionModal.jsx` — Opens, lists user collections, saves correctly | |
| 🔴 | `ClaimToolModal.jsx` — Opens, form submits claim request | |
| 🔴 | `EditToolModal.jsx` — Only accessible by admin/moderator | |
| 🔴 | `EmbedToolModal.jsx` — Generates valid HTML badge snippet | |
| 🟡 | All modals close on backdrop click and Escape key | |
| 🟡 | All modals trap focus (accessibility) | |

### 2.3 Common Components

| Priority | Check | Status |
|---|---|---|
| 🔴 | `SEO.jsx` — Dynamic title set on every page | |
| 🔴 | `SEO.jsx` — og:image set correctly for tool detail pages | |
| 🔴 | `SEO.jsx` — Canonical URLs set on all public pages | |
| 🔴 | `Pagination.jsx` — Works correctly across all listing pages | |
| 🔴 | `ErrorMessage.jsx` — Retry button refetches data | |
| 🔴 | `LoadingSpinner.jsx` — Centered and visible on all backgrounds | |
| 🔴 | `NewsletterForm.jsx` — Submits to `/api/v1/newsletter` and shows success/error | |
| 🔴 | `CookieConsent.jsx` — Shows on first visit; consent persists in localStorage | |
| 🔴 | `CookieConsent.jsx` — Accepting consent fires analytics/tracking correctly | |
| 🟡 | `CookieConsent.jsx` — "Reject" option available (GDPR requirement) | |
| 🟡 | Error boundaries wrap major page sections to prevent full-page crashes | |

---

## 3. Frontend — Auth & Access Control

| Priority | Check | Status |
|---|---|---|
| 🔴 | Clerk `publishableKey` set correctly in Vercel env (`VITE_CLERK_PUBLISHABLE_KEY`) | |
| 🔴 | Clerk production instance (not development) key used in production | |
| 🔴 | Sign up via Google OAuth works end-to-end | |
| 🔴 | Sign up via GitHub OAuth works end-to-end | |
| 🔴 | Sign up via Email + Password works end-to-end | |
| 🔴 | Clerk webhook fires on new user creation and syncs to MongoDB | |
| 🔴 | `ProtectedRoute.jsx` blocks unauthenticated access and redirects to sign-in | |
| 🔴 | `requiredRole` check in `ProtectedRoute.jsx` correctly reads `publicMetadata.role` | |
| 🔴 | Admin routes blocked for `USER` role users | |
| 🟡 | JWT expiry handled gracefully (user prompted to re-authenticate) | |
| 🟡 | Session persistence works across browser refresh | |
| 🟡 | Sign-out clears all local session state | |
| 🟢 | Clerk `UserButton` profile dropdown works (account settings, sign-out) | |

---

## 4. Frontend — Search & Discovery

| Priority | Check | Status |
|---|---|---|
| 🔴 | `VITE_ALGOLIA_APP_ID` and `VITE_ALGOLIA_SEARCH_KEY` set in Vercel env | |
| 🔴 | Search-only API key used in frontend (NOT admin key) | |
| 🔴 | ToolsPage debounced search calls correct backend endpoint | |
| 🔴 | SearchPage Algolia InstantSearch connects to `intelligrid_tools` index | |
| 🔴 | Facet filters (pricing.type, isFeatured) work on SearchPage | |
| 🟡 | Search results highlight matching terms | |
| 🟡 | Zero-results state shows suggested queries or browse CTA | |
| 🟡 | Search query logged to `SearchLog` model in backend | |
| 🟢 | Search analytics in Algolia dashboard enabled | |

---

## 5. Frontend — Performance & SEO

| Priority | Check | Status |
|---|---|---|
| 🔴 | Sitemap at `/sitemap.xml` resolves correctly via Vercel rewrite to Railway | |
| 🔴 | `robots.txt` accessible and permits crawling of public routes | |
| 🔴 | All pages have unique `<title>` tags | |
| 🔴 | All pages have `<meta name="description">` | |
| 🔴 | Tool detail pages have correct `og:image` using tool logo URL | |
| 🔴 | Structured data (JSON-LD) present on Tool detail, Category, and Home pages | |
| 🟡 | Lighthouse score ≥ 80 for Performance on HomePage | |
| 🟡 | Core Web Vitals: LCP < 2.5s, CLS < 0.1, FID < 100ms | |
| 🟡 | Images have `alt` attributes throughout | |
| 🟡 | Tool card images use lazy loading (`loading="lazy"`) | |
| 🟡 | Code splitting working — initial JS bundle < 200KB gzipped | |
| 🟡 | Font loading does not block render | |
| 🟢 | Preconnect hints for Algolia, Clerk, and API domains in `<head>` | |
| 🟢 | Tool logo images served from CDN or with proper cache headers | |

---

## 6. Frontend — UX & Design System

| Priority | Check | Status |
|---|---|---|
| 🔴 | Dark theme consistent across all 17 pages | |
| 🔴 | Purple → violet gradient accent consistent on all primary CTAs | |
| 🔴 | All interactive elements have visible hover states | |
| 🔴 | Toast notifications appear for all success/error actions | |
| 🟡 | Mobile responsiveness tested on 375px, 768px, 1024px, 1440px viewports | |
| 🟡 | All modals work correctly on mobile (no scroll lock issues) | |
| 🟡 | Skeleton loaders match exact shape/size of actual loaded components | |
| 🟡 | Focus states visible for keyboard navigation | |
| 🟡 | Color contrast meets WCAG AA (4.5:1) for body text | |
| 🟢 | Transition animations are smooth (60fps, no jank) | |
| 🟢 | Gradient glow blobs in hero don't degrade performance on low-end devices | |

---

## 7. Backend — API Routes

### 7.1 Tools Routes (`/api/v1/tools`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `GET /tools` — Returns paginated list with correct metadata | |
| 🔴 | `GET /tools/:slug` — Returns single tool; 404 for invalid slug | |
| 🔴 | `GET /tools/search?q=` — Queries Algolia and returns results | |
| 🔴 | `GET /tools/trending` — Returns trending tools sorted by views | |
| 🔴 | `POST /tools` — Creates tool; requires auth + admin role | |
| 🔴 | `PATCH /tools/:id` — Updates tool; requires auth + admin role | |
| 🔴 | `DELETE /tools/:id` — Soft or hard delete; requires admin role | |
| 🟡 | `GET /tools` — Accepts `category`, `pricing`, `page`, `limit` query params | |
| 🟡 | Tool view count incremented on `GET /tools/:slug` | |
| 🟡 | Tool view increment is rate-limited (once per session/IP, not per request) | |

### 7.2 User Routes (`/api/v1/user`)

| Priority | Check | Status |
|---|---|---|
| 🔴 | `GET /user/profile` — Returns current user's MongoDB document | |
| 🔴 | `PATCH /user/profile` — Updates user fields | |
| 🔴 | `GET /user/favorites` — Returns user's favorite tools | |
| 🔴 | `POST /user/favorites/:toolId` — Adds favorite; enforces Free 10-limit | |
| 🔴 | `DELETE /user/favorites/:toolId` — Removes favorite | |
| 🟡 | Free tier limit returns descriptive 403 with upgrade CTA message | |

